frame	predictor	basis	candidate	loss	baseline	absolute_difference
NCP	mu	17	0.5	-0.2301398303282758	-0.2301398303282758	0.0
NCP	mu	17	0.6	-0.2316155232128907	-0.2316155232128907	0.0
NCP	mu	17	0.7	-0.23032193962159106	-0.23032193962159106	0.0
NCP	mu	17	0.8	-0.2263166612118976	-0.2263166612118976	0.0
NCP	mu	17	0.9	-0.21974605456834287	-0.21974605456834287	0.0
NCP	mu	17	1.0	-0.21083246461132404	-0.21083246461132404	0.0
NCP	mu	18	0.0	-0.22060979119343946	-0.22060979119343946	0.0
NCP	mu	18	0.1	-0.23738789459652218	-0.23738789459652218	0.0
NCP	mu	18	0.2	-0.2519979067189519	-0.2519979067189519	0.0
NCP	mu	18	0.3	-0.26386117996073544	-0.26386117996073544	0.0
NCP	mu	18	0.4	-0.2724681224764467	-0.2724681224764467	0.0
NCP	mu	18	0.5	-0.277409039566129	-0.277409039566129	0.0
NCP	mu	18	0.6	-0.278399834631768	-0.278399834631768	0.0
NCP	mu	18	0.7	-0.27530051224629704	-0.27530051224629704	0.0
NCP	mu	18	0.8	-0.2681253744077152	-0.2681253744077152	0.0
NCP	mu	18	0.9	-0.2570449707322456	-0.2570449707322456	0.0
NCP	mu	18	1.0	-0.24238101026161635	-0.24238101026161635	0.0
NCP	mu	19	0.0	-0.21801281016112423	-0.21801281016112423	0.0
NCP	mu	19	0.1	-0.24178295270383926	-0.24178295270383926	0.0
NCP	mu	19	0.2	-0.26290328620208137	-0.26290328620208137	0.0
NCP	mu	19	0.3	-0.28027871406036853	-0.28027871406036853	0.0
NCP	mu	19	0.4	-0.2929336040892426	-0.2929336040892426	0.0
NCP	mu	19	0.5	-0.3000915769320483	-0.3000915769320483	0.0
NCP	mu	19	0.6	-0.3012417926330918	-0.3012417926330918	0.0
NCP	mu	19	0.7	-0.2961855996920766	-0.2961855996920766	0.0
NCP	mu	19	0.8	-0.28506042133338555	-0.28506042133338555	0.0
NCP	mu	19	0.9	-0.2683407341303592	-0.2683407341303592	0.0
NCP	mu	19	1.0	-0.24681791990088606	-0.24681791990088606	0.0
