qoi	mean	sd	bulk_ess	tail_ess	split_rhat
mu(time=44.0)	0.07587392343185823	0.12333641208483546	7998.370232196501	6740.108696809215	1.0032417158851843
mu(time=44.4)	0.053650566046108815	0.12542956641255076	6660.332093930899	6875.561290229646	1.0023373419155786
mu(time=45.0)	0.015169743747106067	0.1289810377341499	4611.0792625359945	3809.4813219395924	1.0015240091525563
mu(time=46.6)	-0.09365140295147545	0.13655877005936704	3629.3569787610886	3334.424750681063	1.0014684840762702
mu(time=47.8)	-0.15404186146062038	0.14023243466854216	5557.887487181529	4869.746557946854	1.0014317884994415
mu(time=48.8)	-0.1784260872200142	0.14540343859088584	7330.369489534415	6438.405785753745	1.011226643673909
mu(time=50.6)	-0.16200265181133686	0.1585585534635193	3054.7834821777215	6691.8709774003655	1.0023779929942767
mu(time=52.0)	-0.11002387806386821	0.15562362401307317	1654.4242270169495	6233.24981652323	1.0026964729239032
mu(time=53.2)	-0.051082020469697224	0.14172890742919192	7022.714730603296	6443.897513252396	1.0008795274023223
mu(time=55.0)	0.043438655153545086	0.13755082168685537	4553.790785241583	5418.191872416695	1.0014155295017013
mu(time=55.4)	0.0633812531484838	0.1432798621038247	1530.6635653452288	5375.900077005061	1.0023804314678264
mu(time=57.6)	0.15108898306097618	0.23363230654487901	3803.762708698757	3353.2304756011263	1.0030692511128256
sigma(time=2.4)	0.04561888148154176	0.02429240787971872	939.1648385673104	5646.397404418484	1.0016819364016682
sigma(time=2.6)	0.042234449285735436	0.021357939074982076	1229.4132807026283	5815.029928412643	1.0014485055159879
sigma(time=3.2)	0.03416005041056084	0.0150597511784516	2794.68869554891	5726.491458673807	1.0013816045198574
sigma(time=3.6)	0.03015956344457493	0.012333729460587976	3375.200304502	5895.730497889275	1.0061307160842765
sigma(time=4.0)	0.027012161736648863	0.010397790235239375	3684.187669596695	5948.556666897546	1.0050573956062074
sigma(time=6.2)	0.01951314435495816	0.006777707687896122	285.8715667156326	5666.248856638185	1.0022278190128258
sigma(time=6.6)	0.01942314279377875	0.006730155475648654	238.87762179919773	145.46624418463807	1.002868349547553
sigma(time=6.8)	0.019505315722604867	0.006742898222742787	223.39711898361966	133.59176718406633	1.0031408561201813
sigma(time=7.8)	0.021270547730702076	0.0071626244531531914	188.56759394070585	141.95036025203603	1.003924874901735
sigma(time=8.2)	0.022696299901814786	0.007519859672381785	184.2975681910268	122.71586418605143	1.004000181328055
sigma(time=8.8)	0.025806413484796654	0.008307082068313487	188.34834817833516	114.52741035809854	1.003792845224021
sigma(time=9.6)	0.03232452408097229	0.009916065484162746	220.74349508275128	159.97913466267693	1.0038853839882211
sigma(time=10.0)	0.03693422490677784	0.011001325592335505	249.45756207693262	2918.528848606456	1.0035561559314077
sigma(time=10.2)	0.0396617466663398	0.011622720891656871	267.61450307693866	2947.3726812063	1.0031508469451789
