model	sampler	parameter	mean	sd	bulk_ess	mcse	split_rhat	tail_ess
brms S2Z CP	Native Stan	total_intercept[714]	5617.701149455979	82.82222362721117	3138.487306743755	1.4780275345457765	0.9997229113366704	1417.7391798358842
brms S2Z CP	Native Stan	total_intercept[715]	6385.122822320297	89.12235519966322	3140.0005738891623	1.5910715824141293	1.0014171297678516	1660.6105878476023
brms S2Z CP	Native Stan	total_intercept[716]	6236.382508245481	123.27157490507281	2929.399282701379	2.2793118555977614	1.000242442178139	1578.0855538368637
brms S2Z CP	Native Stan	total_intercept[717]	6958.340760831225	107.00649625712455	2083.4618120368946	2.345372323689768	1.0003811031769285	1648.4347906918524
brms S2Z CP	Native Stan	total_intercept[718]	6776.137213135113	115.990730610398	2783.2208920962357	2.1999004561302393	0.9996321349231676	1522.6990883196606
brms S2Z CP	Native Stan	total_intercept[719]	10157.386272946145	113.96060363527536	3208.161261171235	2.0198405811380646	0.999555490226429	1550.3628396422953
brms S2Z CP	Native Stan	total_intercept[720]	8770.132175127123	119.1560100546467	3083.276140106348	2.1406837738180853	0.9996047510997861	1607.3009896000635
brms S2Z CP	Native Stan	total_load[701]	36.06382016139563	18.248976081210866	2692.1778571570717	0.355045386810451	1.0009267936662667	1528.9789929714605
brms S2Z CP	Native Stan	total_load[702]	22.85908531023122	11.590913772376343	2773.044796253341	0.22012970795265963	1.0000838562573977	1658.8481387697327
brms S2Z CP	Native Stan	total_load[703]	21.12241923919669	11.903326534566975	3014.53201493694	0.21594894848360122	0.9997984964541212	1745.4425590127014
brms S2Z CP	Native Stan	total_load[704]	69.56294695755422	14.01892063139871	2975.754865520104	0.25799853106862397	1.0004715800859156	1250.606078091029
brms S2Z CP	Native Stan	total_load[705]	37.940764485389224	15.778096049674527	3274.856903636197	0.2770682368393186	0.9997961132278848	1605.144173760473
brms S2Z CP	Native Stan	total_load[706]	52.80589765858278	15.038942123776469	2969.731453500077	0.2771193409217648	1.0005877143050286	1606.236553857982
brms S2Z CP	Native Stan	total_load[707]	57.81192081242123	15.839583183828895	3402.313929433389	0.27104148810714124	0.9999938302051329	1683.7026617507
brms S2Z CP	Native Stan	total_load[708]	33.53549957979378	17.2949595874118	2904.187152613746	0.32209582003215126	0.9997215339069662	1273.5081114194154
brms S2Z CP	Native Stan	total_load[709]	15.288406616635996	18.98706851739251	3157.484356727911	0.33791966406170193	1.0007181159545833	1766.4832547354404
brms S2Z CP	Native Stan	total_load[710]	-14.998421876075513	20.255381784991435	3032.4247377652114	0.36722772166367296	1.0009167748427767	1157.6867810495203
brms S2Z CP	Native Stan	total_load[711]	72.18421228821099	21.261097055333853	3018.7756904051375	0.3866210988005625	1.0018791132235347	1527.5450333539422
brms S2Z CP	Native Stan	total_load[712]	175.05372811078746	24.268206705858226	3100.5819511599434	0.4355986844584663	1.0004063616712557	1438.6378427033371
brms S2Z CP	Native Stan	total_load[713]	45.62937954748609	25.04946648288883	2734.611107028162	0.47892271995209956	0.9998754370967627	1348.928072453711
brms S2Z CP	Native Stan	total_load[714]	55.629410789131136	26.83346842237866	2860.582841293608	0.49850846544963084	1.0002040713620897	1556.4385996021476
brms S2Z CP	Native Stan	total_load[715]	17.588633897779452	28.553734170174213	3100.6141800011656	0.5126308836765624	0.9996173135342927	1479.9757619259728
brms S2Z CP	Native Stan	total_load[716]	25.630020638031674	37.24645767688559	3017.3331064555955	0.6800180467539203	1.000086623038432	1358.7846234583294
brms S2Z CP	Native Stan	total_load[717]	150.77353002204225	34.18766373441509	2199.426048473249	0.7285429142541405	0.9996475043411139	1584.6664465393221
brms S2Z CP	Native Stan	total_load[718]	171.95356288843993	37.687517769598635	2454.606022565897	0.7680706042035931	0.9995170445478953	1435.8454078714324
brms S2Z CP	Native Stan	total_load[719]	27.997237667931973	35.301630929416284	2992.6350846012556	0.6477877595715186	0.9997769740358988	1623.6086742322339
brms S2Z CP	Native Stan	total_load[720]	103.76171975331351	38.21909846971854	2748.445710515311	0.7294502910767747	0.9999021880278067	1459.219981881277
