model	sampler	parameter	difference	combined_mcse	difference_in_combined_mcse
brms CP	WHMC	total_intercept[714]	0.8660842187027811	2.502222177176116	0.3461260261389741
brms CP	WHMC	total_intercept[715]	-2.352740921921395	2.7215391734988286	-0.8644890894209308
brms CP	WHMC	total_intercept[716]	2.1887656376948144	3.61188474540985	0.6059898894826029
brms CP	WHMC	total_intercept[717]	-2.165320230069483	3.157218006504448	-0.6858317118452151
brms CP	WHMC	total_intercept[718]	-0.6959062622499914	3.5162740541613022	-0.1979101320121586
brms CP	WHMC	total_intercept[719]	-2.6547508319818007	3.1893126078216585	-0.8323896583455422
brms CP	WHMC	total_intercept[720]	-2.62845900017237	3.5770321263057654	-0.7348155977807644
brms CP	WHMC	total_load[701]	0.44919619330769933	0.5155974015442689	0.871215006053772
brms CP	WHMC	total_load[702]	-0.10427876901008304	0.34386755628671734	-0.30325271199221604
brms CP	WHMC	total_load[703]	-0.08232727005551865	0.36413579646030503	-0.22608947226778148
brms CP	WHMC	total_load[704]	0.4862136320644339	0.4039897380607637	1.2035296599323595
brms CP	WHMC	total_load[705]	-0.1816914819208293	0.4179619117342525	-0.43470822775916457
brms CP	WHMC	total_load[706]	0.4023881210769602	0.4140967450995593	0.9717249068939577
brms CP	WHMC	total_load[707]	-0.2729583238628095	0.48085807453803464	-0.5676484150235875
brms CP	WHMC	total_load[708]	0.11704594221166076	0.4873363944713823	0.24017484337204373
brms CP	WHMC	total_load[709]	-0.20918690192368317	0.5421644199544896	-0.3858366470105927
brms CP	WHMC	total_load[710]	0.0309923545090669	0.6067085713445369	0.05108277016819497
brms CP	WHMC	total_load[711]	-0.4549494713448894	0.5858901979715666	-0.7765097844612997
brms CP	WHMC	total_load[712]	-0.47604405404283057	0.7504452549352609	-0.6343488094729811
brms CP	WHMC	total_load[713]	0.3788554655556311	0.7322221724496315	0.5174050715893775
brms CP	WHMC	total_load[714]	0.035602635322668164	0.754645807836964	0.04717794090013665
brms CP	WHMC	total_load[715]	1.6369304642941387	0.830385559699286	1.9712896559604591
brms CP	WHMC	total_load[716]	-0.22558652164313386	1.1756324698814864	-0.1918852425587351
brms CP	WHMC	total_load[717]	0.4129130580307674	1.0633513814478381	0.3883128994185846
brms CP	WHMC	total_load[718]	0.3477747649361618	1.103924801676524	0.3150348324523539
brms CP	WHMC	total_load[719]	0.5500236190701884	0.9805369235594621	0.5609412617258096
brms CP	WHMC	total_load[720]	0.9418499377921137	1.057490296493558	0.8906464115227475
brms S2Z CP	Native Stan	log_tau_intercept	-0.0059335611621316176	0.003985561731061291	-1.488764084592815
brms S2Z CP	Native Stan	log_tau_load	0.0008672157758953247	0.007060770765394109	0.12282168685402996
brms S2Z CP	Native Stan	log_sigma_intercept	-0.00018855739117462633	0.00036321164824005804	-0.5191391633178096
brms S2Z CP	Native Stan	log_sigma_subj_slope	2.4653859148876522e-5	7.13623599338118e-5	0.345474269233008
brms S2Z CP	Native Stan	total_intercept[701]	0.1417951061655458	1.5619082200958923	0.09078325111627902
brms S2Z CP	Native Stan	total_intercept[702]	0.04752184581866459	1.0165749232926349	0.046747017587984295
brms S2Z CP	Native Stan	total_intercept[703]	-0.6904748898857633	0.9776183113481426	-0.7062826891341607
brms S2Z CP	Native Stan	total_intercept[704]	-0.10556945879216073	1.2091034673587218	-0.08731217934787375
brms S2Z CP	Native Stan	total_intercept[705]	0.8840069633470193	1.2759650826472102	0.6928143844759403
brms S2Z CP	Native Stan	total_intercept[706]	0.22567938949214295	1.2718590332808672	0.17744056816578485
brms S2Z CP	Native Stan	total_intercept[707]	-0.21527132416304084	1.3393798108974744	-0.16072462972156837
brms S2Z CP	Native Stan	total_intercept[708]	0.7175241483200807	1.4422972875593323	0.4974869983526636
brms S2Z CP	Native Stan	total_intercept[709]	-0.7559461298569659	1.5961366294345927	-0.47360991278343656
brms S2Z CP	Native Stan	total_intercept[710]	0.010375884268796653	1.764994277814867	0.005878707029941428
brms S2Z CP	Native Stan	total_intercept[711]	1.6474593080702107	1.7787202514642257	0.9262048412132474
brms S2Z CP	Native Stan	total_intercept[712]	-1.3086870574452405	2.032424825059658	-0.6439042867953684
brms S2Z CP	Native Stan	total_intercept[713]	-1.7232185705597658	2.3009332620346683	-0.7489215784711456
brms S2Z CP	Native Stan	total_intercept[714]	1.353913651106268	2.164848638473839	0.6254079971432743
brms S2Z CP	Native Stan	total_intercept[715]	-0.6544289127004959	2.4382015345410695	-0.26840640670160015
brms S2Z CP	Native Stan	total_intercept[716]	-2.83340387599128	3.33040786547993	-0.8507678309794561
brms S2Z CP	Native Stan	total_intercept[717]	1.621178134641923	3.1899799085679086	0.5082095126328634
brms S2Z CP	Native Stan	total_intercept[718]	-3.954890446524587	3.256822529457599	-1.2143401768911388
brms S2Z CP	Native Stan	total_intercept[719]	-1.800991026644624	2.961980120054494	-0.6080361628529397
brms S2Z CP	Native Stan	total_intercept[720]	-2.8274685477845196	3.2968431488445415	-0.8576290773115713
brms S2Z CP	Native Stan	total_load[701]	0.4571890204671831	0.5273475452515228	0.8669596067790986
brms S2Z CP	Native Stan	total_load[702]	0.3408183418584585	0.34056189700250616	1.0007530051312536
brms S2Z CP	Native Stan	total_load[703]	0.20168081354989909	0.3329673608554086	0.6057074574269733
brms S2Z CP	Native Stan	total_load[704]	-0.039943700888940725	0.3970305018100134	-0.10060612649870045
brms S2Z CP	Native Stan	total_load[705]	-0.005149495823324912	0.4141542811336227	-0.012433762145907842
brms S2Z CP	Native Stan	total_load[706]	0.39632107234802305	0.4151963084563649	0.954539007876739
brms S2Z CP	Native Stan	total_load[707]	0.14073211729843393	0.44855412944583933	0.3137461190521191
brms S2Z CP	Native Stan	total_load[708]	-0.46041118419553584	0.4622978882959907	-0.9959188563300404
brms S2Z CP	Native Stan	total_load[709]	-0.25509983417483717	0.515018237405233	-0.49532194327735307
brms S2Z CP	Native Stan	total_load[710]	0.7675485693321864	0.5864490942954335	1.3088068117051623
brms S2Z CP	Native Stan	total_load[711]	-0.6338055649574983	0.5779589250209058	-1.0966273510432811
brms S2Z CP	Native Stan	total_load[712]	-0.002945285914051965	0.6578875495040026	-0.004476883498209515
brms S2Z CP	Native Stan	total_load[713]	1.2507234305779207	0.7439433962951397	1.6812077865151578
brms S2Z CP	Native Stan	total_load[714]	-0.507191015743949	0.6941719376508549	-0.7306417736509668
brms S2Z CP	Native Stan	total_load[715]	1.663533001041408	0.7806305881260118	2.1310118080754417
brms S2Z CP	Native Stan	total_load[716]	2.2926273710701857	1.0319452314572313	2.2216560542003947
brms S2Z CP	Native Stan	total_load[717]	-1.0645401683686373	0.9996455238888565	-1.0649176562381086
brms S2Z CP	Native Stan	total_load[718]	1.4952280980652972	1.0840410013673811	1.3793095428856061
brms S2Z CP	Native Stan	total_load[719]	0.796352263205307	0.9323485751100516	0.8541357647393927
brms S2Z CP	Native Stan	total_load[720]	1.2812121100555203	1.0660645135011801	1.2018147999765514
brms S2Z CP	WHMC	log_tau_intercept	-0.0033751123849299347	0.004528415580833389	-0.7453186053009725
brms S2Z CP	WHMC	log_tau_load	-0.0017538461763040303	0.0067919375579341655	-0.25822472031640403
