model	sampler	qoi	bulk_ess	mcse
brms NCP	WHMC	total_load[705]	2605.2816491855633	0.3084475941957046
brms NCP	WHMC	total_load[706]	2799.051919417603	0.27790526746549143
brms NCP	WHMC	total_load[707]	2493.557301636299	0.33127956057065927
brms NCP	WHMC	total_load[708]	2459.4296884524483	0.3432953262557168
brms NCP	WHMC	total_load[709]	2471.2683797980435	0.3761650289153768
brms NCP	WHMC	total_load[710]	2895.2617289626846	0.38425072213802125
brms NCP	WHMC	total_load[711]	2386.19919015822	0.4619217148620885
brms NCP	WHMC	total_load[712]	2729.6621401545895	0.4663103032921422
brms NCP	WHMC	total_load[713]	2292.600265326256	0.519143763551451
brms NCP	WHMC	total_load[714]	2280.061015874836	0.5482240137939159
brms NCP	WHMC	total_load[715]	2477.5087941782886	0.5695784195071185
brms NCP	WHMC	total_load[716]	2482.932813765674	0.7535547010864694
brms NCP	WHMC	total_load[717]	1832.9736717083347	0.7591590162293868
brms NCP	WHMC	total_load[718]	1540.580216639195	0.9310754712684337
brms NCP	WHMC	total_load[719]	1929.1083169958338	0.8279146964589776
brms NCP	WHMC	total_load[720]	2338.323961902373	0.7648595147758829
brms CP	WHMC	population_intercept_at_mean_load	47.32995819529875	75.24250616664781
brms CP	WHMC	population_load	1585.5002511873856	0.3890983349731797
brms CP	WHMC	log_tau_intercept	889.4117547246819	0.005411946053777453
brms CP	WHMC	log_tau_load	1354.492433190799	0.006129545812507796
brms CP	WHMC	log_sigma_intercept	5512.542500611573	0.00020585449678825707
brms CP	WHMC	log_sigma_subj_slope	4283.317998740229	4.142814322554796e-5
brms CP	WHMC	total_intercept[701]	2501.726577981414	1.0694309450982968
brms CP	WHMC	total_intercept[702]	2044.6509727353125	0.7464599725055042
brms CP	WHMC	total_intercept[703]	1959.8898198533811	0.821844197909283
brms CP	WHMC	total_intercept[704]	2324.7046810867155	0.8532042429936704
brms CP	WHMC	total_intercept[705]	2452.0115034306623	0.937817671501516
brms CP	WHMC	total_intercept[706]	2621.6917227679273	0.8877199057823101
brms CP	WHMC	total_intercept[707]	2227.242662382454	1.0646354576584123
brms CP	WHMC	total_intercept[708]	2287.4494883397965	1.1312094229691803
brms CP	WHMC	total_intercept[709]	2368.351967192505	1.208901967986695
brms CP	WHMC	total_intercept[710]	2510.114902308189	1.2596569694361472
brms CP	WHMC	total_intercept[711]	2864.0605774692467	1.274190557688307
brms CP	WHMC	total_intercept[712]	1970.5234330966723	1.7142763061683757
brms CP	WHMC	total_intercept[713]	2401.508506291325	1.5595163908474357
brms CP	WHMC	total_intercept[714]	1737.885656044442	1.9388428480218338
brms CP	WHMC	total_intercept[715]	2076.8988384325285	1.9983637131953886
brms CP	WHMC	total_intercept[716]	2126.0685444336973	2.6738282291019186
brms CP	WHMC	total_intercept[717]	2030.2898748756425	2.3006140615624644
brms CP	WHMC	total_intercept[718]	2040.2767713427265	2.568433813137376
brms CP	WHMC	total_intercept[719]	2411.523277295798	2.34054366590848
brms CP	WHMC	total_intercept[720]	2428.3735514173595	2.5511783755802715
brms CP	WHMC	total_load[701]	2838.357466672662	0.3373462222876934
brms CP	WHMC	total_load[702]	2482.5288979863913	0.225210077261157
brms CP	WHMC	total_load[703]	2090.769932574927	0.2614604429353279
brms CP	WHMC	total_load[704]	2528.6157820167527	0.2685846814776694
brms CP	WHMC	total_load[705]	2933.8078118892076	0.28272813610338116
brms CP	WHMC	total_load[706]	2897.0841900502755	0.27546917950865174
brms CP	WHMC	total_load[707]	2505.6720893614915	0.321694216735155
brms CP	WHMC	total_load[708]	2589.9361502425886	0.3571038240282767
brms CP	WHMC	total_load[709]	2559.924889176415	0.37800551948902644
brms CP	WHMC	total_load[710]	2772.65507576491	0.39878434009033864
brms CP	WHMC	total_load[711]	2989.1823157443296	0.3983800686600609
brms CP	WHMC	total_load[712]	1928.715369277849	0.5657722746515719
brms CP	WHMC	total_load[713]	2862.9044824112366	0.46050461954472055
brms CP	WHMC	total_load[714]	2094.1554279546713	0.5797640092217758
brms CP	WHMC	total_load[715]	2275.5305903352246	0.5856163296375423
brms CP	WHMC	total_load[716]	1722.8674157236778	0.8829639219262259
brms CP	WHMC	total_load[717]	1661.6132766441883	0.8137565759524868
brms CP	WHMC	total_load[718]	2276.493718226026	0.7958878866728847
brms CP	WHMC	total_load[719]	2378.810444990139	0.7154074184717394
brms CP	WHMC	total_load[720]	3085.858771506671	0.71686114930544
brms S2Z CP	Native Stan	population_intercept_at_mean_load	2045.9587120584363	11.779636313984714
brms S2Z CP	Native Stan	population_load	2211.1647421967086	0.33063486159947564
brms S2Z CP	Native Stan	log_tau_intercept	3111.1679440725634	0.0028532933539618427
brms S2Z CP	Native Stan	log_tau_load	2053.5232422106214	0.005124306657651246
brms S2Z CP	Native Stan	log_sigma_intercept	2647.115074614622	0.0002779998379235393
brms S2Z CP	Native Stan	log_sigma_subj_slope	2388.757101863516	5.938013553397836e-5
brms S2Z CP	Native Stan	total_intercept[701]	3041.2844801495817	1.007699475313013
brms S2Z CP	Native Stan	total_intercept[702]	2757.7590507988857	0.6672665322078672
brms S2Z CP	Native Stan	total_intercept[703]	3106.6606361549298	0.6609800184919727
brms S2Z CP	Native Stan	total_intercept[704]	2875.8762324051377	0.7857270595087503
brms S2Z CP	Native Stan	total_intercept[705]	2989.8195309316916	0.8810457333593678
brms S2Z CP	Native Stan	total_intercept[706]	2630.6841291186674	0.8942202721940019
