coordinate	candidate	native_loss	expected_loss	error
4	0.6	-0.3858924304055098	-0.3858924304055024	7.382983113757291e-15
4	0.7	-0.4460065465667016	-0.44600654656668676	1.482147737874584e-14
4	0.8	-0.5133781328099638	-0.5133781328099712	7.438494264988549e-15
4	0.9	-0.5731164384799176	-0.5731164384799143	3.219646771412954e-15
4	1.0	-0.5960044167743462	-0.5960044167743429	3.3306690738754696e-15
5	0.0	-0.052510718329335446	-0.05251071832933535	9.71445146547012e-17
5	0.1	-0.06455732544999188	-0.06455732544998287	9.006684287271582e-15
5	0.2	-0.07917483767948673	-0.07917483767944221	4.451994328746878e-14
5	0.3	-0.09733460857985878	-0.09733460857981695	4.182765245275277e-14
5	0.4	-0.12054460132900094	-0.12054460132897732	2.3619994848900205e-14
5	0.5	-0.15123630073884853	-0.15123630073883934	9.18709552877317e-15
5	0.6	-0.19345904906924766	-0.19345904906924336	4.3021142204224816e-15
5	0.7	-0.2539418728634747	-0.2539418728634696	5.10702591327572e-15
5	0.8	-0.3421077483798976	-0.3421077483798961	1.4988010832439613e-15
5	0.9	-0.4573590477152305	-0.45735904771523317	2.6645352591003757e-15
5	1.0	-0.5352869838204357	-0.5352869838204359	2.220446049250313e-16
6	0.0	-0.5399567331462439	-0.5399567331462443	3.3306690738754696e-16
6	0.1	-0.5514609470593008	-0.5514609470587476	5.532241331707155e-13
6	0.2	-0.5621857361661078	-0.5621857361664861	3.7836400679225335e-13
6	0.3	-0.5719468900461557	-0.5719468900460839	7.183142969324763e-14
6	0.4	-0.5805518407792166	-0.5805518407793322	1.155742168634788e-13
6	0.5	-0.5878060720326812	-0.5878060720326952	1.3988810110276972e-14
6	0.6	-0.5935211877750767	-0.5935211877750575	1.9206858326015208e-14
6	0.7	-0.59752426917017	-0.5975242691701865	1.6542323066914832e-14
6	0.8	-0.5996678585462403	-0.5996678585462385	1.7763568394002505e-15
6	0.9	-0.599839652898253	-0.5998396528982539	8.881784197001252e-16
6	1.0	-0.5979708377950924	-0.5979708377950943	1.887379141862766e-15
7	0.0	-0.4259495906591807	-0.4259495906591803	3.885780586188048e-16
7	0.1	-0.4460228914705435	-0.44602289147088914	3.4561242756581123e-13
7	0.2	-0.466037612127775	-0.46603761212783806	6.306066779870889e-14
7	0.3	-0.48560054651828577	-0.48560054651843987	1.5409895581797173e-13
7	0.4	-0.5042089556113035	-0.5042089556113779	7.438494264988549e-14
7	0.5	-0.5212518973569383	-0.5212518973568573	8.104628079763643e-14
7	0.6	-0.5360298741714611	-0.5360298741714533	7.771561172376096e-15
7	0.7	-0.5477990099132782	-0.5477990099132763	1.887379141862766e-15
7	0.8	-0.5558415268354608	-0.5558415268354496	1.1213252548714081e-14
7	0.9	-0.5595558288415381	-0.5595558288415369	1.2212453270876722e-15
7	1.0	-0.5585491497791822	-0.5585491497791804	1.887379141862766e-15
8	0.0	-0.25835814677884594	-0.25835814677884567	2.7755575615628914e-16
8	0.1	-0.2873840979387393	-0.28738409793871267	2.6645352591003757e-14
8	0.2	-0.32001823395313483	-0.32001823395323653	1.0169642905566434e-13
8	0.3	-0.35667465449227576	-0.3566746544923091	3.3362201889985954e-14
8	0.4	-0.3975981371898113	-0.39759813718981374	2.4424906541753444e-15
8	0.5	-0.4426076955009475	-0.44260769550090545	4.2021941482062175e-14
8	0.6	-0.4906570592877184	-0.49065705928772374	5.329070518200751e-15
8	0.7	-0.5392154292614018	-0.5392154292614001	1.6653345369377348e-15
8	0.8	-0.5837117494482214	-0.5837117494482238	2.4424906541753444e-15
8	0.9	-0.6177338351855688	-0.6177338351855697	8.881784197001252e-16
8	1.0	-0.6348354175038777	-0.6348354175038776	1.1102230246251565e-16
9	0.0	-0.07598430281174685	-0.07598430281174672	1.3877787807814457e-16
9	0.1	-0.09048505449694133	-0.09048505449696968	2.8352320491364935e-14
9	0.2	-0.10830351497555947	-0.10830351497556126	1.790234627208065e-15
9	0.3	-0.13057833644224176	-0.1305783364422226	1.915134717478395e-14
9	0.4	-0.15896849679221078	-0.1589684967922361	2.531308496145357e-14
9	0.5	-0.19589732043512734	-0.1958973204351276	2.498001805406602e-16
9	0.6	-0.24477529619378907	-0.2447752961937826	6.467049118441537e-15
9	0.7	-0.3096354797339644	-0.3096354797339635	8.881784197001252e-16
9	0.8	-0.3918470882578733	-0.3918470882578701	3.164135620181696e-15
9	0.9	-0.4784592058096341	-0.47845920580963136	2.7200464103316335e-15
9	1.0	-0.5292387288016457	-0.5292387288016489	3.219646771412954e-15
10	0.0	-0.5654739996752062	-0.5654739996752064	2.220446049250313e-16
10	0.1	-0.5710908872311538	-0.5710908872309836	1.701971896750365e-13
10	0.2	-0.5762104056424543	-0.576210405642659	2.0472512574087887e-13
10	0.3	-0.5808160471594377	-0.5808160471594361	1.5543122344752192e-15
10	0.4	-0.5848924090996411	-0.5848924090997322	9.103828801926284e-14
10	0.5	-0.5884252626928894	-0.5884252626929185	2.90878432451791e-14
10	0.6	-0.5914016185269436	-0.5914016185269405	3.1086244689504383e-15
10	0.7	-0.5938097883480123	-0.5938097883480151	2.7755575615628914e-15
10	0.8	-0.5956394429865667	-0.5956394429865578	8.881784197001252e-15
10	0.9	-0.5968816662139227	-0.5968816662139209	1.7763568394002505e-15
10	1.0	-0.5975290043629654	-0.5975290043629686	3.219646771412954e-15
11	0.0	-0.1056288416547609	-0.10562884165476083	6.938893903907228e-17
11	0.1	-0.12031242199904443	-0.12031242199902684	1.759703494030873e-14
11	0.2	-0.13823789437438935	-0.13823789437433773	5.162537064506978e-14
11	0.3	-0.1605536006648822	-0.16055360066486765	1.454392162258955e-14
11	0.4	-0.18898010289155912	-0.18898010289155814	9.71445146547012e-16
11	0.5	-0.22615337088928264	-0.2261533708892883	5.662137425588298e-15
11	0.6	-0.2761280366842666	-0.27612803668426594	6.661338147750939e-16
11	0.7	-0.3447651925306268	-0.34476519253062293	3.885780586188048e-15
11	0.8	-0.4378955774139969	-0.43789557741399365	3.219646771412954e-15
11	0.9	-0.5479226241158568	-0.5479226241158537	3.1086244689504383e-15
11	1.0	-0.6197116137973928	-0.619711613797392	7.771561172376096e-16
12	0.0	-0.22634470352158415	-0.2263447035215843	1.6653345369377348e-16
12	0.1	-0.25279619568874084	-0.25279619568877354	3.269606807521086e-14
12	0.2	-0.28329514903180686	-0.28329514903175124	5.562217353372034e-14
12	0.3	-0.3184624223241942	-0.31846242232419386	3.3306690738754696e-16
12	0.4	-0.3587944811272023	-0.3587944811271892	1.3100631690576847e-14
12	0.5	-0.40435252260727533	-0.40435252260728644	1.1102230246251565e-14
12	0.6	-0.45416934644447565	-0.4541693464444718	3.83026943495679e-15
12	0.7	-0.5053369432322136	-0.505336943232214	4.440892098500626e-16
12	0.8	-0.5521440578338058	-0.5521440578338053	5.551115123125783e-16
12	0.9	-0.5864700691702206	-0.5864700691702239	3.3306690738754696e-15
12	1.0	-0.6008199814237788	-0.6008199814237789	1.1102230246251565e-16
13	0.0	-0.07791812644787362	-0.07791812644784273	3.089195566019498e-14
13	0.1	-0.08588862913802638	-0.08588862913802535	1.0269562977782698e-15
13	0.2	-0.09588571298323766	-0.09588571298314937	8.829048603331557e-14
13	0.3	-0.1087234649165359	-0.10872346491651688	1.9012569296705806e-14
