arm	parameter	mean	baseline_mean	mcse	baseline_mcse	z
s2z_ncp_native	between_trial_sd	14.434042887035199	14.497537437984272	0.1845695515311934	0.22105931983408203	0.2204816223115058
s2z_ncp_native	trial_1_total	-49.94615230642463	-49.8845254497704	0.09084807340229907	0.08246017568582459	0.5022936884016287
s2z_ncp_native	trial_2_total	-48.66805655636313	-48.748245191127005	0.05689947184293854	0.05598593673291054	1.004559783554811
s2z_ncp_native	trial_3_total	-38.602895995857494	-38.620723976498944	0.05755555842320504	0.061742174501994755	0.21121156368722388
s2z_ncp_native	trial_4_total	-48.46372123251825	-48.29817313543649	0.15530276566546236	0.138420807215136	0.7957639032871637
s2z_ncp_native	trial_5_total	-63.886771793125966	-63.862803661348785	0.27626993051694315	0.2839706149578454	0.0604969699115849
s2z_ncp_native	trial_6_total	-51.5056337376664	-51.587565003208375	0.10728678590288315	0.10265477576846316	0.5517731433560418
stan_cp_native	population_mean	-50.05413036687272	-49.70074734560424	0.13999643331096254	0.19693232219838175	1.4625430107604445
stan_cp_native	between_trial_sd	15.222964918269462	14.497537437984272	0.21787793069218914	0.22105931983408203	2.337196112056991
stan_cp_native	trial_1_total	-50.14720655003718	-49.8845254497704	0.10625357889224138	0.08246017568582459	1.9530596245901566
stan_cp_native	trial_2_total	-48.89895280021436	-48.748245191127005	0.06708579144920188	0.05598593673291054	1.7247759669912945
stan_cp_native	trial_3_total	-38.33434960523498	-38.620723976498944	0.07965218315152173	0.061742174501994755	2.8415852696679127
stan_cp_native	trial_4_total	-48.901976601200886	-48.29817313543649	0.13805358440681986	0.138420807215136	3.0885547556469923
stan_cp_native	trial_5_total	-64.81088614777525	-63.862803661348785	0.29892328706212296	0.2839706149578454	2.2994753762587603
stan_cp_native	trial_6_total	-51.66739004952964	-51.587565003208375	0.11403212879289666	0.10265477576846316	0.5202638941158519
stan_ncp_native	population_mean	-49.865866827814784	-49.70074734560424	0.20003369634878734	0.19693232219838175	0.5882294048552252
stan_ncp_native	between_trial_sd	14.240637617857383	14.497537437984272	0.21302886499233412	0.22105931983408203	0.8368093616643671
stan_ncp_native	trial_1_total	-49.8662478353915	-49.8845254497704	0.08914631115551801	0.08246017568582459	0.15051210154529016
stan_ncp_native	trial_2_total	-48.689446591026396	-48.748245191127005	0.058987312268639944	0.05598593673291054	0.7229982581343539
stan_ncp_native	trial_3_total	-38.65146574435276	-38.620723976498944	0.060162711880159404	0.061742174501994755	0.3566040512521722
stan_ncp_native	trial_4_total	-48.4391629664965	-48.29817313543649	0.13908735301380035	0.138420807215136	0.7184983530918836
stan_ncp_native	trial_5_total	-63.69462207011743	-63.862803661348785	0.2775580917763216	0.2839706149578454	0.4235387739803497
stan_ncp_native	trial_6_total	-51.33831752620433	-51.587565003208375	0.10976823369514432	0.10265477576846316	1.658444109335364
total_cp	population_mean	-49.87782764383182	-49.70074734560424	0.15828390506708911	0.19693232219838175	0.7008691681850419
total_cp	between_trial_sd	15.034026423419617	14.497537437984272	0.20444959387628317	0.22105931983408203	1.781707974912659
total_cp	trial_1_total	-50.03652095241104	-49.8845254497704	0.16845892054984415	0.08246017568582459	0.8103910190090058
