school	centeredness	loss	admissible
6	0.63	0.20931426653750107	true
6	0.64	0.2175629763634065	true
6	0.65	0.225904175561645	true
6	0.66	0.23433705722424492	true
6	0.67	0.24286083298186667	true
6	0.68	0.25147473231801665	true
6	0.69	0.2601780019119545	true
6	0.7	0.2689699050089328	true
6	0.71	0.27784972081646564	true
6	0.72	0.28681674392541445	true
6	0.73	0.29587028375473023	true
6	0.74	0.30500966401875884	true
6	0.75	0.3142342222160762	true
6	0.76	0.32354330913887075	true
6	0.77	0.332936288401945	true
6	0.78	0.34241253599045385	true
6	0.79	0.351971439825543	true
6	0.8	0.361612399347097	true
6	0.81	0.37133482511284077	true
6	0.82	0.38113813841307986	true
6	0.83	0.39102177090040224	true
6	0.84	0.40098516423369046	true
6	0.85	0.4110277697358379	true
6	0.86	0.42114904806457565	true
6	0.87	0.43134846889586254	true
6	0.88	0.44162551061930666	true
6	0.89	0.45197966004510925	true
6	0.9	0.4624104121220638	true
6	0.91	0.47291726966614034	true
6	0.92	0.4834997430992304	true
6	0.93	0.4941573501976315	true
6	0.94	0.5048896158498782	true
6	0.95	0.515696071823543	true
6	0.96	0.5265762565406481	true
6	0.97	0.537529714861341	true
6	0.98	0.5485559978755149	true
6	0.99	0.559654662702049	true
6	1.0	0.5708252722953868	true
7	0.0	-0.04335956005733459	true
7	0.01	-0.044037502570920505	true
7	0.02	-0.04441591664985854	true
7	0.03	-0.0445053228442623	true
7	0.04	-0.0443155466711284	true
7	0.05	-0.04385577455245306	true
7	0.06	-0.04313460518202107	true
7	0.07	-0.042160096630679336	true
7	0.08	-0.04093980949615383	true
7	0.09	-0.03948084639499848	true
7	0.1	-0.037789888082457625	true
7	0.11	-0.035873226471945255	true
7	0.12	-0.03373679481036541	true
7	0.13	-0.03138619524928225	true
7	0.14	-0.028826724035486376	true
7	0.15	-0.026063394528198447	true
7	0.16	-0.02310095823426922	true
7	0.17	-0.01994392403746248	true
7	0.18	-0.016596575783404538	true
7	0.19	-0.013062988368105932	true
7	0.2	-0.009347042465150862	true
7	0.21	-0.005452438014766886	true
7	0.22	-0.001382706586940896	true
7	0.23	0.002858777279393404	true
7	0.24	0.007268785668410521	true
7	0.25	0.011844227726552387	true
7	0.26	0.016582140872456935	true
7	0.27	0.02147968270843914	true
7	0.28	0.026534123570786494	true
7	0.29	0.03174283966200031	true
7	0.3	0.03710330671347142	true
7	0.31	0.042613094131894486	true
7	0.32	0.04826985958711849	true
7	0.33	0.05407134400308988	true
7	0.34	0.06001536691712739	true
7	0.35	0.0660998221760109	true
7	0.36	0.07232267394029124	true
7	0.37	0.0786819529708751	true
7	0.38	0.08517575317433207	true
7	0.39	0.09180222838552565	true
7	0.4	0.09855958936812365	true
7	0.41	0.10544610101530738	true
7	0.42	0.11246007973459432	true
7	0.43	0.11959989100212415	true
7	0.44	0.12686394707306825	true
7	0.45	0.13425070483599977	true
7	0.46	0.14175866380012475	true
7	0.47	0.1493863642052477	true
7	0.48	0.15713238524521805	true
7	0.49	0.16499534339639482	true
7	0.5	0.1729738908433922	true
7	0.51	0.1810667139950185	true
7	0.52	0.18927253208391376	true
7	0.53	0.1975900958439344	true
7	0.54	0.2060181862598181	true
7	0.55	0.21455561338411144	true
7	0.56	0.22320121521674685	true
7	0.57	0.23195385664302665	true
7	0.58	0.2408124284261075	true
7	0.59	0.24977584625038535	true
7	0.6	0.2588430498124656	true
7	0.61	0.2680130019566518	true
7	0.62	0.2772846878521283	true
7	0.63	0.2866571142092229	true
7	0.64	0.29612930853233044	true
7	0.65	0.30570031840726	true
7	0.66	0.3153692108209313	true
7	0.67	0.325135071511501	true
7	0.68	0.33499700434713153	true
7	0.69	0.3449541307317462	true
7	0.7	0.35500558903623547	true
7	0.71	0.3651505340536758	true
7	0.72	0.37538813647723535	true
7	0.73	0.3857175823995198	true
7	0.74	0.39613807283220404	true
7	0.75	0.40664882324487106	true
7	0.76	0.4172490631220457	true
7	0.77	0.4279380355374869	true
7	0.78	0.43871499674485726	true
7	0.79	0.44957921578394133	true
7	0.8	0.4605299741016484	true
7	0.81	0.4715665651870731	true
7	0.82	0.4826882942199351	true
7	0.83	0.4938944777317673	true
7	0.84	0.5051844432792482	true
7	0.85	0.5165575291291263	true
7	0.86	0.5280130839541985	true
7	0.87	0.539550466539857	true
7	0.88	0.5511690455007286	true
7	0.89	0.5628681990069712	true
7	0.9	0.5746473145198097	true
7	0.91	0.5865057885359228	true
7	0.92	0.5984430263403052	true
7	0.93	0.6104584417672627	true
7	0.94	0.6225514569692027	true
7	0.95	0.6347215021929162	true
7	0.96	0.6469680155630463	true
7	0.97	0.6592904428724692	true
7	0.98	0.6716882373793226	true
7	0.99	0.6841608596104233	true
7	1.0	0.696707777170843	true
8	0.0	-0.027975417369954226	true
