panel	column	draw	log_group_sd	coordinate
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	89	-0.6990511834985703	0.7140693154154809
1: region 6 intercept, rho=0.99	1. CP	90	-0.009795282030507012	0.6562753895979032
1: region 6 intercept, rho=0.99	2. NCP	90	-0.009795282030507012	0.6627353791870669
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	90	-0.009795282030507012	0.6563178332902642
1: region 6 intercept, rho=0.99	1. CP	91	-0.8743522538884391	0.6369380442408701
1: region 6 intercept, rho=0.99	2. NCP	91	-0.8743522538884391	1.5269455446747335
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	91	-0.8743522538884391	0.6427007844907475
1: region 6 intercept, rho=0.99	1. CP	92	-0.8802801687931436	0.6265566749606635
1: region 6 intercept, rho=0.99	2. NCP	92	-0.8802801687931436	1.5109885762656246
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	92	-0.8802801687931436	0.632251942690187
1: region 6 intercept, rho=0.99	1. CP	93	0.33521702750061316	0.7086433362720087
1: region 6 intercept, rho=0.99	2. NCP	93	0.33521702750061316	0.5068095645257705
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	93	0.33521702750061316	0.7072957233469254
1: region 6 intercept, rho=0.99	1. CP	94	-0.6424048760541478	0.7356681167487906
1: region 6 intercept, rho=0.99	2. NCP	94	-0.6424048760541478	1.3985397908444286
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	94	-0.6424048760541478	0.740085742945753
1: region 6 intercept, rho=0.99	1. CP	95	-0.00967515612436952	0.7437812213780647
1: region 6 intercept, rho=0.99	2. NCP	95	-0.00967515612436952	0.7510123455369773
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	95	-0.00967515612436952	0.743830000146764
1: region 6 intercept, rho=0.99	1. CP	96	-0.6354207545047987	0.7504178802383895
1: region 6 intercept, rho=0.99	2. NCP	96	-0.6354207545047987	1.4166510923048181
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	96	-0.6354207545047987	0.7549449696138654
1: region 6 intercept, rho=0.99	1. CP	97	-0.10250001834560837	0.5669655723995518
1: region 6 intercept, rho=0.99	2. NCP	97	-0.10250001834560837	0.6281623180841273
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	97	-0.10250001834560837	0.5673403504700322
1: region 6 intercept, rho=0.99	1. CP	98	0.06768988455523185	0.8211186652221834
1: region 6 intercept, rho=0.99	2. NCP	98	0.06768988455523185	0.7673766514890458
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	98	0.06768988455523185	0.8207514969240358
1: region 6 intercept, rho=0.99	1. CP	99	0.2729807186426216	0.6293794614872125
1: region 6 intercept, rho=0.99	2. NCP	99	0.2729807186426216	0.47902540499068375
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	99	0.2729807186426216	0.6284133051592982
1: region 6 intercept, rho=0.99	1. CP	100	-0.010558073553613935	0.6876081382187995
1: region 6 intercept, rho=0.99	2. NCP	100	-0.010558073553613935	0.6949064155962971
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	100	-0.010558073553613935	0.6876567036175718
1: region 6 intercept, rho=0.99	1. CP	101	-0.43414939137512865	0.6790363491142087
1: region 6 intercept, rho=0.99	2. NCP	101	-0.43414939137512865	1.0481940928206304
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	101	-0.43414939137512865	0.6814948514778589
1: region 6 intercept, rho=0.99	1. CP	102	-0.6407283957743171	0.6557884495063202
1: region 6 intercept, rho=0.99	2. NCP	102	-0.6407283957743171	1.2445964840908612
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	102	-0.6407283957743171	0.6596676566455243
